Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
NC-10,Patrick McHenry (R),R+12,35.7,60.5,,,"['NC', '10']",NC,10,,,,,,,,,,,,,,,,,,,,,,,,
NC-11,Mark Meadows (R),R+14,33.7,62.0,,,"['NC', '11']",NC,11,North Carolina 11,R+14,Vacant,59.2% R,Likely R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,5.0,0.7142857142857143,"['North Carolina', '11']"
NC-12,Alma Adams (D),D+18,67.2,28.2,,,"['NC', '12']",NC,12,,,,,,,,,,,,,,,,,,,,,,,,
NC-13,Ted Budd (R),R+6,43.5,52.7,,,"['NC', '13']",NC,13,,,,,,,,,,,,,,,,,,,,,,,,
ND-AL,Kelly Armstrong (R),R+16,27.2,63.0,38.7,58.3,"['ND', 'AL']",ND,0,,,,,,,,,,,,,,,,,,,,,,,,
OH-01,Steve Chabot (R),R+5,44.5,51.1,46.3,52.4,"['OH', '01']",OH,1,Ohio 1,R+5,Steve Chabot  (R),51.3% R,Tossup,Tossup,Lean R,Lean R,Lean R,Likely R,Lean R,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,Lean R,4.0,0.5714285714285714,"['Ohio', '1']"
OH-02,Brad Wenstrup (R),R+9,39.5,55.6,43.7,54.8,"['OH', '02']",OH,2,,,,,,,,,,,,,,,,,,,,,,,,
OH-03,Joyce Beatty (D),D+19,67.2,28.3,69.8,29.0,"['OH', '03']",OH,3,,,,,,,,,,,,,,,,,,,,,,,,
OH-04,Jim Jordan (R),R+14,30.5,63.9,42.1,56.1,"['OH', '04']",OH,4,,,,,,,,,,,,,,,,,,,,,,,,
OH-05,Bob Latta (R),R+11,34.4,59.3,44.1,53.9,"['OH', '05']",OH,5,,,,,,,,,,,,,,,,,,,,,,,,
OH-06,Bill Johnson (R),R+16,26.5,68.9,42.7,55.3,"['OH', '06']",OH,6,,,,,,,,,,,,,,,,,,,,,,,,
OH-07,Bob Gibbs (R),R+12,32.7,62.4,44.4,53.9,"['OH', '07']",OH,7,,,,,,,,,,,,,,,,,,,,,,,,
OH-08,Warren Davidson (R),R+17,30.4,64.7,36.4,61.9,"['OH', '08']",OH,8,,,,,,,,,,,,,,,,,,,,,,,,
OH-09,Marcy Kaptur (D),D+14,58.7,36.5,67.7,30.9,"['OH', '09']",OH,9,,,,,,,,,,,,,,,,,,,,,,,,
OH-10,Mike Turner (R),R+4,43.8,51.0,48.2,50.1,"['OH', '10']",OH,10,Ohio 10,R+4,Mike Turner  (R),55.9% R,Likely R,Likely R,Likely R,Likely R,Likely R,Safe R,Tossup,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Likely R,5.0,0.7142857142857143,"['Ohio', '10']"
OH-11,Marcia Fudge (D),D+32,80.5,17.0,83.3,16.1,"['OH', '11']",OH,11,,,,,,,,,,,,,,,,,,,,,,,,
OH-12,Troy Balderson (R),R+7,41.6,53.1,44.0,54.4,"['OH', '12']",OH,12,Ohio 12,R+7,Troy Balderson  (R),51.4% R,Likely R,Safe R,Likely R,Likely R,Safe R,Lean R,Lean R,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,3.0,0.42857142857142855,"['Ohio', '12']"
OH-13,Tim Ryan (D),D+7,51.1,44.6,62.9,35.8,"['OH', '13']",OH,13,Ohio 13,D+7,Tim Ryan  (D),61.0% D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Safe D,6.0,0.8571428571428571,"['Ohio', '13']"
OH-14,David Joyce (R),R+5,42.0,53.4,47.6,51.0,"['OH', '14']",OH,14,Ohio 14,R+5,David Joyce  (R),55.3% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Ohio', '14']"
OH-15,Steve Stivers (R),R+7,39.6,55.2,46.4,51.9,"['OH', '15']",OH,15,,,,,,,,,,,,,,,,,,,,,,,,
OH-16,Anthony Gonzalez (R),R+8,39.4,56.1,45.3,53.5,"['OH', '16']",OH,16,,,,,,,,,,,,,,,,,,,,,,,,
OK-01,Kevin Hern (R),R+17,32.7,61.4,34.2,65.8,"['OK', '01']",OK,1,,,,,,,,,,,,,,,,,,,,,,,,
OK-02,Markwayne Mullin (R),R+24,22.8,72.9,32.2,67.8,"['OK', '02']",OK,2,,,,,,,,,,,,,,,,,,,,,,,,
OK-03,Frank Lucas (R),R+27,20.9,73.6,26.1,73.9,"['OK', '03']",OK,3,,,,,,,,,,,,,,,,,,,,,,,,
OK-04,Tom Cole (R),R+20,28.4,65.6,32.9,67.1,"['OK', '04']",OK,4,,,,,,,,,,,,,,,,,,,,,,,,
OK-05,Kendra Horn (D),R+10,39.7,53.3,40.8,59.2,"['OK', '05']",OK,5,Oklahoma 5,R+10,Kendra Horn  (D),50.7% D,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Tossup,7.0,1.0,"['Oklahoma', '5']"
OR-01,Suzanne Bonamici (D),D+9,55.0,33.1,56.8,39.7,"['OR', '01']",OR,1,,,,,,,,,,,,,,,,,,,,,,,,
OR-02,Greg Walden (R),R+11,35.3,54.7,40.1,56.4,"['OR', '02']",OR,2,,,,,,,,,,,,,,,,,,,,,,,,
OR-03,Earl Blumenauer (D),D+24,68.4,21.7,71.6,24.5,"['OR', '03']",OR,3,,,,,,,,,,,,,,,,,,,,,,,,
OR-04,Peter DeFazio (D),EVEN,44.5,44.4,51.4,44.7,"['OR', '04']",OR,4,Oregon 4,EVEN,Peter DeFazio  (D),56.0% D,Likely D,Safe D,Likely D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,Safe D,4.0,0.5714285714285714,"['Oregon', '4']"
OR-05,Kurt Schrader (D),EVEN,46.4,42.3,50.1,46.8,"['OR', '05']",OR,5,Oregon 5,EVEN,Kurt Schrader  (D),55.1% D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Safe D,6.0,0.8571428571428571,"['Oregon', '5']"
PA-01,Brian Fitzpatrick (R),R+1,49.1,47.1,50.3,48.4,"['PA', '01']",PA,1,Pennsylvania 1,R+1,Brian Fitzpatrick  (R),51.3% R,Lean R,Tilt R,Lean R,Lean R,Lean R,Tossup,Lean R,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,Lean R,5.0,0.7142857142857143,"['Pennsylvania', '1']"
